depth_m,qc_MPa,fs_kPa,u2_kPa,u_kPa
0.94,12.9099,57.916,-3.4474,-3.4474
0.945,13.2349,58.2377,-3.4474,-3.4474
0.95,13.5641,58.1305,-4.1369,-4.1369
0.955,13.725,57.487,-4.1369,-4.1369
0.96,14.0242,54.4839,-4.1369,-4.1369
0.965,14.2741,54.3767,-4.1369,-4.1369
0.97,14.5026,55.4492,-4.1369,-4.1369
0.975,14.6045,56.1999,-4.1369,-4.1369
0.98,14.8254,57.8087,-4.1369,-4.1369
0.985,15.0485,59.4175,-4.1369,-4.1369
0.99,15.3005,61.2408,-4.1369,-4.1369
0.995,15.5783,63.064,-4.1369,-4.1369
1,15.7006,64.1366,-4.1369,-4.1369
1.005,15.9676,65.7453,-4.1369,-4.1369
1.01,16.2111,67.4614,-4.1369,-4.1369
1.015,16.4396,69.0701,-4.1369,-4.1369
1.02,16.5468,71.1079,-4.1369,-4.1369
1.025,16.7388,71.8587,-4.1369,-4.1369
1.03,16.9061,73.4675,-4.1369,-4.1369
1.035,17.0573,74.969,-4.1369,-4.1369
1.04,17.1667,76.3633,-4.1369,-4.1369
1.045,17.2118,77.6503,-4.1369,-4.1369
1.05,16.2948,78.4011,-8.9632,-8.9632
1.055,15.7349,79.6881,-9.6527,-9.6527
1.06,16.2519,80.7606,-9.6527,-9.6527
1.065,16.4943,81.7259,-9.6527,-9.6527
1.07,16.5972,82.0476,-9.6527,-9.6527
1.075,16.6348,83.6564,-9.6527,-9.6527
1.08,16.6755,85.5869,-9.6527,-9.6527
1.085,16.6819,86.8739,-9.6527,-9.6527
1.09,16.6562,88.0537,-9.6527,-9.6527
1.095,16.6551,88.4827,-9.6527,-9.6527
1.1,16.639,88.161,-9.6527,-9.6527
1.105,16.6176,88.161,-9.6527,-9.6527
1.11,16.6133,89.2335,-9.6527,-9.6527
1.115,16.6315,89.7697,-9.6527,-9.6527
1.12,16.653,90.735,-9.6527,-9.6527
1.125,16.6744,91.4858,-9.6527,-9.6527
1.13,16.7356,92.451,-9.6527,-9.6527
1.135,16.8085,92.88,-9.6527,-9.6527
1.14,16.8739,93.6308,-9.6527,-9.6527
1.145,16.9469,94.3816,-9.6527,-9.6527
1.15,16.9876,95.3468,-9.6527,-9.6527
1.155,17.0573,95.9903,-9.6527,-9.6527
1.16,17.1185,98.1354,-9.6527,-9.6527
1.165,17.1571,100.2804,-9.6527,-9.6527
1.17,17.1774,101.6747,-9.6527,-9.6527
1.175,17.2257,102.1037,-9.6527,-9.6527
1.18,17.2933,103.069,-9.6527,-9.6527
1.185,17.3437,103.927,-8.9632,-8.9632
1.19,17.3769,104.4632,-8.9632,-8.9632
1.195,17.3962,104.5705,-8.9632,-8.9632
1.2,17.4445,104.6777,-8.9632,-8.9632
1.205,17.4595,104.1415,-8.9632,-8.9632
1.21,17.4488,104.6777,-8.9632,-8.9632
1.215,17.4434,105.643,-8.9632,-8.9632
1.22,17.4359,105.7503,-8.9632,-8.9632
1.225,17.4381,105.9648,-8.9632,-8.9632
1.23,17.4499,106.2865,-8.9632,-8.9632
1.235,17.4606,106.6083,-8.9632,-8.9632
1.24,17.4606,106.6083,-8.9632,-8.9632
1.245,17.4713,106.2865,-8.9632,-8.9632
1.25,17.4681,106.3938,-8.9632,-8.9632
1.255,17.4488,107.0373,-8.9632,-8.9632
1.26,17.4177,107.2518,-8.9632,-8.9632
1.265,17.3984,107.788,-8.9632,-8.9632
1.27,17.3662,108.217,-8.9632,-8.9632
1.275,17.3512,108.5388,-8.9632,-8.9632
1.27,17.3147,108.6461,-8.9632,-8.9632
1.285,17.2954,109.2896,-8.9632,-8.9632
1.28,17.3212,109.9331,-8.9632,-8.9632
1.295,17.3533,110.2548,-8.9632,-8.9632
1.29,17.4177,110.2548,-8.9632,-8.9632
1.305,17.4702,110.7911,-8.9632,-8.9632
1.3,17.5314,111.5419,-8.9632,-8.9632
1.315,17.6054,112.3999,-8.9632,-8.9632
1.31,17.6418,112.6144,-8.9632,-8.9632
1.325,17.6923,113.1506,-8.9632,-8.9632
1.32,17.7255,113.9014,-8.9632,-8.9632
1.335,17.7362,114.5449,-8.9632,-8.9632
1.33,17.7405,114.7594,-8.9632,-8.9632
1.345,17.7384,115.1884,-8.9632,-8.9632
1.34,17.7276,115.0812,-8.9632,-8.9632
1.355,17.7126,114.7594,-8.9632,-8.9632
1.35,17.7169,114.7594,-8.9632,-8.9632
1.365,17.7309,114.7594,-8.9632,-8.9632
1.36,17.7234,114.3304,-8.9632,-8.9632
1.375,17.7126,114.1159,-8.9632,-8.9632
1.37,17.6976,114.0086,-8.9632,-8.9632
1.385,17.6268,113.6869,-8.9632,-8.9632
1.38,17.5314,112.9361,-8.9632,-8.9632
1.395,17.4509,112.3999,-8.9632,-8.9632
1.39,17.4166,112.1854,-8.9632,-8.9632
1.405,17.3576,112.0781,-8.9632,-8.9632
1.4,17.2783,111.7564,-8.2737,-8.2737
1.415,17.2,111.2201,-8.2737,-8.2737
1.41,17.1678,111.1128,-8.2737,-8.2737
1.425,17.1217,110.8983,-8.2737,-8.2737
1.42,17.0616,110.8983,-8.2737,-8.2737
1.435,17.0133,110.8983,-8.2737,-8.2737
1.43,16.9973,111.1128,-8.2737,-8.2737
1.445,16.9694,111.1128,-8.2737,-8.2737
1.44,16.9554,111.0056,-8.2737,-8.2737
1.455,16.9608,110.7911,-8.2737,-8.2737
1.45,16.9908,110.4693,-8.2737,-8.2737
1.465,17.0369,110.2548,-8.2737,-8.2737
1.46,17.0927,109.6113,-8.2737,-8.2737
1.475,17.1217,109.2896,-8.2737,-8.2737
